F5 Sample ID	FFID	F5 CAGE Lib ID	F5 RNASEQ Lib ID	ROADMAP Matching Sample	Facet ontology ID	Facet ontology term	F5 Sample Type	F5 Sample Description	ROADMAP_Description	Note
10770	FF:10770-110F5	CNhs13051	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M5) cell line:P31/FUJ	__na	__na
10766	FF:10766-110F1	CNhs11865	__na	__na	__na	__na	cell_line	chronic myelogenous leukemia (CML) cell line:MEG-A2	__na	__na
10765	FF:10765-110E9	CNhs11864	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M2) cell line:NKM-1	__na	__na
10764	FF:10764-110E8	CNhs13050	__na	__na	__na	__na	cell_line	acute myeloid leukemia (FAB M5) cell line:NOMO-1	__na	__na
10760	FF:10760-110E4	CNhs11862	__na	__na	__na	__na	cell_line	bronchial squamous cell carcinoma cell line:KNS-62	__na	__na
10759	FF:10759-110E3	CNhs11861	__na	__na	__na	__na	cell_line	medulloblastoma cell line:ONS-76	__na	__na
10758	FF:10758-110E2	CNhs11860	__na	__na	__na	__na	cell_line	fibrosarcoma cell line:HT-1080	__na	__na
10752	FF:10752-110D5	CNhs11859	RDhi10081	__na	__na	__na	cell_line	leukemia, chronic megakaryoblastic cell line:MEG-01	__na	__na
10744	FF:10744-110C6	CNhs11858	__na	__na	__na	__na	cell_line	mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162	__na	__na
10742	FF:10742-110C4	CNhs14245	__na	__na	__na	__na	cell_line	lung adenocarcinoma, papillary cell line:NCI-H441	__na	__na
10737	FF:10737-110B8	CNhs11857	__na	__na	__na	__na	cell_line	spindle cell sarcoma cell line:Hs 132.T	__na	__na
10735	FF:10735-110B6	CNhs14244	__na	__na	__na	__na	cell_line	carcinoid cell line:NCI-H727	__na	__na
10732	FF:10732-110B3	CNhs11856	__na	__na	__na	__na	cell_line	pagetoid sarcoma cell line:Hs 925.T	__na	__na
10730	FF:10730-110B1	CNhs12193	__na	__na	__na	__na	cell_line	non-small cell lung cancer cell line:NCI-H1385	__na	low_quantity
